Timestamp,Which of the following best describes your current employment status?,"How many years has it been since you have completed your terminal degree (MA, MSc, PhD, etc)?",Gender,What was your first undergraduate degree in?,How did you first come across ABM?,Which software/programming language do you use for building ABMs? (Choose all that apply),How did you learn the software? (Please choose the most relevant option),What was the geographic area of your last simulation?,What was the time period of your last simulation?,The scale of your last simulation. One agent represents:,The scale of your last simulation. One time step represents:,Have you used any of the following elements in your most recent simulation? (Choose all that apply),What validation method did you use in your last simulation?,Which of the following you are aware of or use regularly [The ODD protocol],Which of the following you are aware of or use regularly [GitHub],Which of the following you are aware of or use regularly [Stack Overflow],Which of the following you are aware of or use regularly [OpenABM (CoMSES Net)],Which of the following you are aware of or use regularly [The CAA Special Interest Group in Complex Systems Simulation],Which of the following you are aware of or use regularly [Santa Fe Institute],Which of the following you are aware of or use regularly [Conference on Complex Systems],Which of the following you are aware of or use regularly [SAA Digital Data Interest Group],Which of the following you are aware of or use regularly [Local CAA chapter],Which of the following you are aware of or use regularly [NetLogo Users Group],Which is the primary journal you would consider publishing your simulation?,"In your research using ABM, do you ever collaborate with other specialists in the following fields? (Choose all that apply)",If you were to describe your 'scientific heritage' who or what tradition would you identify as the most influential for your work. 
12/04/2017 09:46,Post-Doctoral Researcher,1,Female,Archaeology,I have heard about it at a conference/workshop/seminar.,"Netlogo, Python","Formal training at a workshop/summer school, etc.",Abstract/Not Geographically Specific,Old World Human Origins,3,5,"GIS data (e.g. DEM, vegetation maps, etc), Other climate or environmental data (e.g. rainfall timeseries, etc)",It was an abstract model not designed to be validated.,I use it / am a member of,I use it / am a member of,I use it / am a member of,I use it / am a member of,I use it / am a member of,I am aware of it,I use it / am a member of,I use it / am a member of,I am aware of it,I am aware of it,"General subject journals (e.g., Nature, Science, PNAS, Plos One)","computer science, physics, climate science, environmental science, or similar",Complexity Science
12/04/2017 11:09,Academic Appointment (tenured/permanent position),8,Male,Computer Science,I read an article/book that used this technique.,"Python, C++","Self-taught, no support.",Abstract/Not Geographically Specific,Old World Other Historic,1,1,Genetic algorithm or other machine learning/AI techniques,It was an abstract model not designed to be validated.,I am aware of it,I use it / am a member of,I use it / am a member of,I am aware of it,I am aware of it,I am aware of it,I am aware of it,I am aware of it,I am aware of it,Never heard of,"General subject journals (e.g., Nature, Science, PNAS, Plos One)","climate science, environmental science, or similar, sociology, social/cultural anthropology, or similar, history",Evolutionary Theory
12/04/2017 11:11,Heritage Professional,2,Male,Anthropology (Archaeology) and Art Studio,I took a course at the Santa Fe Institute when I was 16 for my High School,"Netlogo, Python","Self-taught, no support.",North America,"All periods, new world",1,1,"Networks, GIS data (e.g. DEM, vegetation maps, etc), Archaeological data (e.g. site distributions, etc), Other climate or environmental data (e.g. rainfall timeseries, etc), Equation-based modeling (incl. system dynamics), Multilevel modeling",Two- statistical and comparison to another analysis,Never heard of,I use it / am a member of,I use it / am a member of,I am aware of it,I use it / am a member of,I use it / am a member of,I am aware of it,I am aware of it,I use it / am a member of,I am aware of it,"General subject journals (e.g., Nature, Science, PNAS, Plos One)","computer science, climate science, environmental science, or similar, geology, geochemistry, geomorphology, or similar, ecology, biology, genetics, or similar, sociology, social/cultural anthropology, or similar, physical geography, geographic information science, or similar, palaeontology, palaeoanthropology, or similar, cognitive science, behavioural science, or similar, mathematics",Several of these
12/04/2017 11:15,Enrolled in PhD Program,-1 (I am actively studying for my terminal degree),Female,Other Humanities (e.g. Classics),My supervisors/colleague/students suggested it to me.,Netlogo,"Self-taught, peer support.",Western Europe,Old World Classical Periods,1,1,"GIS data (e.g. DEM, vegetation maps, etc), Archaeological data (e.g. site distributions, etc), Equation-based modeling (incl. system dynamics), Cellular automata","Comparison with the results of another analysis (e.g., a GIS model)",I am aware of it,I am aware of it,I use it / am a member of,I use it / am a member of,I am aware of it,Never heard of,I use it / am a member of,I am aware of it,I am aware of it,I use it / am a member of,"Archaeological science journals (e.g., Journal of Archaeological Science, CAA Journal, STAR)",computer science,Complexity Science
12/04/2017 11:29,Academic Appointment (non-tenured/not permanent),3,Female,History,My supervisors/colleague/students suggested it to me.,Netlogo,"Formal training at a workshop/summer school, etc.",Western Europe,Old World Palaeolithic/Stone Age,3,5,"Archaeological data (e.g. site distributions, etc)",Stylised Fact' (broad generalisation of an empirical pattern),I use it / am a member of,Never heard of,Never heard of,I use it / am a member of,I use it / am a member of,I use it / am a member of,I use it / am a member of,I am aware of it,I am aware of it,I use it / am a member of,"Archaeological science journals (e.g., Journal of Archaeological Science, CAA Journal, STAR)",computer science,Evolutionary Theory
12/04/2017 11:34,Academic Appointment (tenured/permanent position),17,Male,"Other Social Sciences (e.g. Sociology, Psychology)",I have heard about it at a conference/workshop/seminar.,Netlogo,"Self-taught, no support.",Abstract/Not Geographically Specific,Abstract/Not Temporally Specific,2,2,Networks,Stylised Fact' (broad generalisation of an empirical pattern),I use it / am a member of,I am aware of it,I use it / am a member of,I use it / am a member of,I am aware of it,I am aware of it,I am aware of it,Never heard of,Never heard of,I use it / am a member of,"Simulation journals (e.g., Journal of Artificial Societies and Social Simulation; Simulation)","computer science, climate science, environmental science, or similar, ecology, biology, genetics, or similar, sociology, social/cultural anthropology, or similar, palaeontology, palaeoanthropology, or similar, cognitive science, behavioural science, or similar",Simulation as a technique (outside of any particular theoretical framework)
12/04/2017 11:36,Academic Appointment (non-tenured/not permanent),5,Male,History,It was part of formal training for my degree.,"Netlogo, R",Formal training as part of my degree.,Western Europe,Old World Neolithic,1,2,"Archaeological data (e.g. site distributions, etc), Equation-based modeling (incl. system dynamics)",Formal (statistical) comparison with archaeological data,I am aware of it,I use it / am a member of,I am aware of it,I am aware of it,I am aware of it,I am aware of it,I am aware of it,I use it / am a member of,I am aware of it,I am aware of it,"Archaeological science journals (e.g., Journal of Archaeological Science, CAA Journal, STAR)",mathematics,Evolutionary Theory
12/04/2017 11:38,Academic Appointment (tenured/permanent position),30,Male,Physics,I read an article/book that used this technique.,"Python, C++, Java","Self-taught, no support.",Western Europe,Old World Other Historic,2,2,Cellular automata,Comparison with the results of another simulation,Never heard of,I am aware of it,I use it / am a member of,I am aware of it,I am aware of it,I am aware of it,I use it / am a member of,I am aware of it,I am aware of it,I am aware of it,"Archaeological science journals (e.g., Journal of Archaeological Science, CAA Journal, STAR)","physics, Archaeologists, silly question!",Complexity Science
12/04/2017 12:09,Enrolled in PhD Program,2,Male,Archaeology,"Through sources online (blogs, etc.)","Netlogo, Python","Self-taught, peer support.",Eastern Europe,Old World Mesolithic,3,2,"Networks, GIS data (e.g. DEM, vegetation maps, etc), Archaeological data (e.g. site distributions, etc)",It was an abstract model not designed to be validated.,I am aware of it,I use it / am a member of,I use it / am a member of,I am aware of it,I am aware of it,I am aware of it,I am aware of it,I am aware of it,I use it / am a member of,I am aware of it,"Archaeological science journals (e.g., Journal of Archaeological Science, CAA Journal, STAR)","computer science, climate science, environmental science, or similar, geology, geochemistry, geomorphology, or similar, mathematics",Systems theory (Binford et al.)
12/04/2017 13:06,Enrolled in PhD Program,3,Female,History,My supervisors/colleague/students suggested it to me.,"Python, R","Self-taught, supervisor support.",Western Europe,Old World Classical Periods,3,2,Genetic algorithm or other machine learning/AI techniques,"Comparison with the results of another analysis (e.g., a GIS model)",Never heard of,I use it / am a member of,I am aware of it,I am aware of it,I use it / am a member of,I am aware of it,I am aware of it,I am aware of it,I am aware of it,I am aware of it,"Archaeological science journals (e.g., Journal of Archaeological Science, CAA Journal, STAR)","computer science, ecology, biology, genetics, or similar, sociology, social/cultural anthropology, or similar, mathematics",Cultural Transmission
